minute_offset,pv_power,house_load,tariff_price,prod_price,forecast_pv_power
0,1.8035,230.3428040079688,0.2422,0.1422,2.068
15,2.1159,202.75222956826448,0.24,0.14,2.2043
30,2.4214,161.9111465028212,0.2394,0.1394,2.3647
45,2.7171,213.9681444242355,0.2384,0.1384,2.3896
60,3.0,159.092526277408,0.2384,0.1384,2.7256
75,3.2701,183.22256807930123,0.2351,0.1351,2.8974
90,3.5275,192.7380947441337,0.233,0.133,2.8647
105,3.7588,205.43858124306527,0.2306,0.1306,3.4875
120,3.9508,212.8126522477561,0.2332,0.1332,3.6371
135,4.1035,219.73929441943483,0.2337,0.1337,4.0136
150,4.217,228.99496888813803,0.2283,0.1283,4.486
165,4.3572,163.18903528946092,0.2252,0.1252,4.2727
180,4.5903,184.2770451632705,0.233,0.133,4.7913
195,4.9163,170.15596108155336,0.2221,0.1221,5.11
210,5.3351,220.7324230102106,0.2164,0.1164,5.5655
225,5.484,153.33992643582775,0.22,0.12,5.971
240,5.0,240.92500436080581,0.228,0.128,5.3462
255,3.8832,190.516066488244,0.228,0.128,4.3753
270,2.1337,226.04354703393108,0.2298,0.1298,3.4724
285,2.1909,197.37583757615243,0.2346,0.1346,3.848
300,6.4944,178.67189179228725,0.2209,0.1209,6.4921
315,15.0442,225.12924887646318,0.2384,0.1384,13.1164
330,27.8404,159.70899434347356,0.228,0.128,24.3571
345,38.8264,191.23577883120575,0.218,0.118,31.2606
360,41.9459,233.0528,0.2164,0.1164,35.6789
375,37.1988,212.677,0.2164,0.1164,34.0801
390,24.5852,209.5317,0.2164,0.1164,29.2313
405,35.5805,222.8467,0.2105,0.1104,44.8075
420,101.6602,202.0494,0.2164,0.1164,89.6305
435,222.8244,200.8567,0.2112,0.1112,219.4876
450,399.073,220.2743,0.2046,0.1046,365.8202
465,575.5166,238.3162,0.2046,0.1046,498.9603
480,697.2658,225.7312,0.2164,0.1164,640.6282
495,764.3204,208.6454,0.2092,0.1092,711.8246
510,776.6805,227.0891,0.2092,0.1092,702.53
525,796.5465,208.6448,0.1983,0.0983,749.5964
540,886.1187,223.8652,0.2102,0.1102,825.2989
555,1045.3972,229.9928,0.2085,0.1085,920.4568
570,1274.3818,207.47,0.2066,0.1066,1033.9678
585,1566.3489,218.8595,0.2011,0.1011,1278.9533
600,1914.5746,201.3124,0.2084,0.1083,1529.0081
615,2319.0589,1648.5696482146438,0.2054,0.1054,1941.0148
630,2779.8019,1673.8132482146439,0.2164,0.1164,2204.4393
645,3115.6984,3180.2038734070243,0.2075,0.1075,2512.2179
660,3145.6433,3213.5812734070246,0.2164,0.1164,2762.9832
675,2869.6368,3196.7675734070244,0.2164,0.1164,2476.244
690,2287.6787,3191.8441734070243,0.2164,0.1164,2342.7714
705,1640.1006,2259.8575713575083,0.2131,0.1131,1920.3314
720,1167.2343,2254.317671357508,0.2159,0.1159,1417.9886
735,869.0797,2259.699471357508,0.2164,0.1164,1198.3299
750,745.6368,210.5158,0.2075,0.1061,981.9893
765,688.6828,215.1752,0.2054,0.1042,777.1554
780,589.995,225.4088,0.2053,0.1033,608.4717
795,449.5734,222.5157,0.1965,0.0948,480.1369
810,267.4179,229.2156,0.1774,0.0764,344.4467
825,128.4923,1683.5393940966417,0.1678,0.0671,246.4005
840,117.7603,1691.3245940966417,0.1683,0.0676,214.4718
855,235.2218,1704.7211940966417,0.159,0.0585,230.2576
870,480.8769,2924.698927350124,0.1646,0.0641,401.5457
885,731.8219,2925.268427350124,0.1607,0.0605,541.4152
900,865.1532,1839.680421639441,0.1717,0.0714,658.0705
915,880.8708,1831.931321639441,0.175,0.0747,700.3094
930,778.9747,1861.8529216394409,0.17,0.0681,651.2166
945,630.2468,1237.572537428604,0.1777,0.0756,649.0677
960,505.4689,1220.180337428604,0.1856,0.0828,582.0214
975,404.6412,2563.648933469822,0.166,0.064,528.8073
990,327.7635,2520.137633469822,0.1903,0.0879,441.4215
1005,264.5343,1357.5836523496323,0.194,0.0921,317.8543
1020,204.6519,1372.9731523496323,0.1572,0.0572,240.6434
1035,148.1164,3515.8336523496323,0.1879,0.0879,183.8146
1050,94.9277,214.8636,0.2164,0.1164,129.064
1065,50.406,222.8709,0.2384,0.1384,89.4612
1080,19.8715,228.8093,0.2027,0.1027,49.9432
1095,3.3244,222.2927,0.2164,0.1164,23.0964
1110,0.7644,2380.2011,0.2277,0.1277,8.807
1125,4.5402,218.9441,0.2384,0.1384,3.8084
1140,7.0,210.7757,0.2281,0.1281,4.6716
1155,8.1439,219.5508,0.2384,0.1384,6.3541
1170,7.9719,222.2292,0.24,0.14,6.6382
1185,7.1981,220.5779,0.2437,0.1437,6.9899
1200,6.5365,229.6416,0.24,0.14,6.6268
1215,5.9872,232.0597,0.2407,0.1407,6.0814
1230,5.5502,204.235,0.242,0.142,6.0825
1245,5.2222,211.767,0.2414,0.1414,5.5127
1260,5.0,222.7303,0.2592,0.1592,5.309
1275,4.8836,210.9713,0.2494,0.1494,5.6225
1290,4.8729,228.0714,0.2424,0.1424,4.9939
1305,4.9419,218.2469,0.2384,0.1384,5.1449
1320,5.0647,224.868,0.2445,0.1445,5.152
1335,5.2411,241.2208,0.24,0.14,4.6103
1350,5.4712,2267.1382993548805,0.2391,0.1391,5.3099
1365,5.6952,2247.62999935488,0.2364,0.1364,5.5645
1380,5.8537,2267.08189935488,0.2384,0.1384,5.9644
